ORIGIN,ORIGIN_CITY,total_departures,avg_dep_delay,avg_arr_delay,delay_rate,cancellation_rate,avg_taxi_out
FOD,"Fort Dodge, IA",144,28.26388888888889,27.368055555555557,0.13194444444444445,0.027777777777777776,12.125
FSD,"Sioux Falls, SD",3269,14.853777913735087,15.542979504435607,0.18048332823493424,0.03456714591618232,16.475374732334046
FSM,"Fort Smith, AR",708,12.806497175141242,13.851694915254237,0.13983050847457626,0.03672316384180791,13.690677966101696
FWA,"Fort Wayne, IN",2582,17.395817195972114,17.238187451587915,0.18280402788536018,0.030209140201394268,15.098760650658404
GCC,"Gillette, WY",320,13.95,15.259375,0.1375,0.034375,16.940625
GCK,"Garden City, KS",369,8.506775067750677,10.254742547425474,0.13279132791327913,0.02168021680216802,12.802168021680217
GEG,"Spokane, WA",7548,10.17117117117117,10.48357180710122,0.1363275039745628,0.013513513513513514,14.15818759936407
GFK,"Grand Forks, ND",692,9.563583815028903,9.614161849710984,0.11560693641618497,0.02745664739884393,14.773121387283236
GGG,"Longview, TX",393,13.346055979643767,15.597964376590332,0.16793893129770993,0.027989821882951654,14.099236641221374
GJT,"Grand Junction, CO",1815,15.05564738292011,16.001652892561985,0.15867768595041323,0.017630853994490357,16.23581267217631
GNV,"Gainesville, FL",1814,12.633958103638369,12.735391400220507,0.15490628445424476,0.023704520396912898,13.01819184123484
GPT,"Gulfport/Biloxi, MS",1663,10.380637402285027,11.069152134696331,0.1371016235718581,0.027660853878532773,14.034876728803367
GRB,"Green Bay, WI",1990,10.940201005025125,12.128140703517587,0.13417085427135678,0.02613065326633166,14.352763819095477
GRI,"Grand Island, NE",448,18.118303571428573,19.430803571428573,0.22767857142857142,0.03125,12.738839285714286
GRK,"Killeen, TX",1177,12.833474936278675,14.355989804587935,0.17332200509770604,0.03993203058623619,15.939677145284621
GRR,"Grand Rapids, MI",7636,12.444342587742273,13.161341016238868,0.16147197485594553,0.030906233630172867,14.654924044002096
GSO,"Greensboro/High Point, NC",4738,11.57555930772478,11.710848459265513,0.13634444913465596,0.031025749261291685,16.210426340227944
GSP,"Greer, SC",5948,11.048587760591795,11.245628782784129,0.14340954942837927,0.0265635507733692,15.577841291190316
GST,"Gustavus, AK",39,2.2564102564102564,2.4615384615384617,0.07692307692307693,0.05128205128205128,10.128205128205128
GTF,"Great Falls, MT",1100,10.075454545454546,11.139090909090909,0.13272727272727272,0.017272727272727273,13.367272727272727
GTR,"Columbus, MS",497,10.895372233400403,10.454728370221329,0.09859154929577464,0.004024144869215292,14.501006036217303
GUC,"Gunnison, CO",304,21.5625,22.911184210526315,0.22697368421052633,0.03289473684210526,19.9375
GUM,"Guam, TT",320,4.090625,4.1125,0.0875,0.009375,13.5875
HDN,"Hayden, CO",1036,17.14864864864865,19.394787644787645,0.23745173745173745,0.04054054054054054,20.276061776061777
HGR,"Hagerstown, MD",91,30.373626373626372,30.12087912087912,0.3626373626373626,0.02197802197802198,8.923076923076923
HHH,"Hilton Head, SC",1174,15.742759795570699,16.600511073253834,0.1899488926746167,0.03151618398637138,16.972742759795572
HIB,"Hibbing, MN",316,13.512658227848101,13.348101265822784,0.08227848101265822,0.028481012658227847,12.503164556962025
HLN,"Helena, MT",665,8.780451127819548,10.009022556390978,0.09022556390977443,0.021052631578947368,16.05263157894737
HNL,"Honolulu, HI",23095,8.403117557912967,8.541026196146351,0.14773760554232518,0.012340333405499025,15.52708378436891
HOB,"Hobbs, NM",180,27.622222222222224,29.727777777777778,0.19444444444444445,0.022222222222222223,13.78888888888889
HOU,"Houston, TX",24393,12.846718320829746,10.988234329520765,0.19169433853974502,0.037059812241216745,10.466609273152134
HPN,"White Plains, NY",4414,17.82079746261894,17.926144086995922,0.20978704123244224,0.034435885817852285,15.420480289986408
HRL,"Harlingen/San Benito, TX",1629,9.934929404542665,10.050337630448128,0.13505217925107427,0.02394106813996317,11.341313689379987
HSV,"Huntsville, AL",3556,12.5748031496063,12.708098987626547,0.14257592800899888,0.028965129358830145,14.789370078740157
HTS,"Ashland, WV",234,24.854700854700855,26.286324786324787,0.3076923076923077,0.05982905982905983,7.756410256410256
HVN,"New Haven, CT",165,10.727272727272727,12.06060606060606,0.12121212121212122,0.05454545454545454,12.357575757575757
HYA,"Hyannis, MA",50,26.44,24.94,0.3,0.06,10.96
HYS,"Hays, KS",410,18.153658536585365,19.148780487804878,0.15365853658536585,0.03414634146341464,13.75609756097561
IAD,"Washington, DC",25758,13.501941144498797,13.807943163289075,0.17082071589409115,0.022789036415870798,18.262170976007454
IAG,"Niagara Falls, NY",243,23.580246913580247,24.65843621399177,0.2716049382716049,0.053497942386831275,12.444444444444445
IAH,"Houston, TX",62391,14.002195829526695,14.07089163501146,0.18342389126636854,0.023833565738648203,18.094516837364363
ICT,"Wichita, KS",4188,13.274355300859598,13.582855778414517,0.15401146131805157,0.02865329512893983,13.191021967526266
IDA,"Idaho Falls, ID",1531,18.26583932070542,19.215545395166558,0.15937295885042455,0.015022860875244938,16.305029392553887
ILG,"Wilmington, DE",17,17.352941176470587,18.470588235294116,0.29411764705882354,0.058823529411764705,10.647058823529411
ILM,"Wilmington, NC",3036,11.232213438735178,11.553689064558629,0.14558629776021081,0.036231884057971016,15.417654808959156
IMT,"Iron Mountain/Kingsfd, MI",352,10.340909090909092,9.911931818181818,0.09090909090909091,0.019886363636363636,10.448863636363637
IND,"Indianapolis, IN",18988,11.024752475247524,11.495523488519064,0.15509795660417106,0.02928165156941226,13.980356014324837
INL,"International Falls, MN",299,7.010033444816053,6.357859531772576,0.06688963210702341,0.026755852842809364,10.351170568561873
IPT,"Williamsport, PA",6,21.5,14.0,0.16666666666666666,0.0,9.0
ISN,"Williston, ND",57,5.578947368421052,4.947368421052632,0.12280701754385964,0.0,22.94736842105263
ISP,"Islip, NY",2186,12.827996340347667,12.839432753888381,0.1838975297346752,0.043000914913083256,11.156450137236963
ITH,"Ithaca/Cortland, NY",339,16.174041297935105,15.253687315634219,0.13274336283185842,0.02654867256637168,16.545722713864308
ITO,"Hilo, HI",2786,5.6529073941134245,6.399138549892319,0.11162957645369706,0.01615218951902369,9.255563531945441
JAC,"Jackson, WY",2415,18.702277432712215,19.884472049689442,0.21407867494824018,0.01780538302277433,19.394616977225674
JAN,"Jackson/Vicksburg, MS",3352,12.469570405727923,12.189140811455847,0.13454653937947494,0.028042959427207637,13.30936754176611
JAX,"Jacksonville, FL",12581,12.796836499483348,12.820046101263811,0.16334154677688578,0.02694539384786583,13.18106668786265
JFK,"New York, NY",50331,16.000576185650992,15.85970872821919,0.20472472233812164,0.028153623015636488,23.814567562734695
JLN,"Joplin, MO",410,14.053658536585365,14.046341463414635,0.15609756097560976,0.026829268292682926,15.521951219512195
JMS,"Jamestown, ND",424,14.54245283018868,14.745283018867925,0.14858490566037735,0.054245283018867926,13.804245283018869
JNU,"Juneau, AK",2053,7.005358012664393,8.323429128105213,0.14953726254262056,0.02289332683877253,14.106673161227471
JST,"Johnstown, PA",189,24.8994708994709,24.634920634920636,0.15873015873015872,0.042328042328042326,14.931216931216932
KOA,"Kona, HI",6750,8.207555555555556,8.504148148148149,0.1428148148148148,0.014222222222222223,11.409185185185185
KTN,"Ketchikan, AK",1063,8.770460959548448,10.057384760112887,0.1636876763875823,0.02539981185324553,12.64722483537159
LAN,"Lansing, MI",1044,11.765325670498084,12.309386973180077,0.1503831417624521,0.031609195402298854,14.791187739463602
LAR,"Laramie, WY",292,19.904109589041095,22.04794520547945,0.1815068493150685,0.06506849315068493,16.482876712328768
LAS,"Las Vegas, NV",73324,14.382685069008783,13.772257378211773,0.2121269979815613,0.02580328405433419,15.739498663466259
LAW,"Lawton/Fort Sill, OK",534,13.715355805243446,15.02808988764045,0.1760299625468165,0.04119850187265917,13.985018726591761
LAX,"Los Angeles, CA",85643,11.801174643578577,11.15027497869061,0.1615777121305886,0.0178531812290555,16.092149971392875
